HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V
14929,3.209142333,18.943572,9.58,12.22,-22.94,8.42,0.526
14937,3.210100667,3.961061,6.34,26.35,-3.91,9.41,0.587
14950,3.211957667,3.464827,8.05,-43.67,-44.4,9.76,0.587
14961,3.214214333,4.81939,3.26,-3.06,-3.34,11.28,1.439
14971,3.216681867,17.132225,8.21,35.48,-10.83,8.52,0.46
14974,3.2172476,20.729908,19.2,-44.39,-65.23,8.65,0.617
14977,3.217558867,11.268633,3.8,10.03,-6.31,7.8,0.661
14992,3.2204486,3.821107,15.89,273.22,-225.92,9.85,0.94
14993,3.22081,21.644716,3.41,64.98,-38.58,8.23,0.496
14996,3.221149533,6.423987,2.8,10.49,-13.19,9.45,1.392
14997,3.2218746,11.553611,16.3,26.46,-19.44,9.18,0.712
15015,3.225999267,7.798744,3.98,35.28,1.95,9.24,0.473
15020,3.226808933,7.708675,24.82,-130.88,-300.64,11.9,1.44
15038,3.230606067,22.25251,5.31,-9.35,-41.29,8.64,0.593
15048,3.231912733,18.973337,3.08,25.67,10.51,6.51,1.487
15052,3.233003267,17.888694,1.85,-1.41,-3.44,9.3,0.276
15054,3.233465467,10.453345,8.27,63.36,-67.56,8.46,0.56
15057,3.233715933,24.265279,2.12,-8.75,-4.86,8.19,1.51
15062,3.234663667,18.303813,24.52,-15.3,-227.78,8.12,0.624
15064,3.2356658,15.590418,7.46,23.36,-12.26,7.17,0.072
15072,3.2380986,22.953768,5.8,59.19,-8.35,6.76,1.111
15074,3.238277333,9.130905,18.08,273.8,-81.77,11.16,1.16
15077,3.239867733,9.201682,2.67,3.98,-18.48,8.31,1.182
15081,3.240919333,13.07389,0.7,-4.19,-3.09,8.79,0.318
15083,3.242223933,12.656933,7.88,69.3,-32.89,9.36,0.801
15098,3.2461274,18.028631,4.04,-0.75,-0.02,8.95,0.357
15099,3.246452,8.980792,44.96,401.17,-404.84,7.83,0.861
15100,3.246446867,20.341352,7.76,-13.28,2.56,9.16,0.38
15109,3.248105533,15.527143,7.27,171.94,-56.02,9.51,0.642
15110,3.24836,21.044441,9.59,-29.83,-77.15,4.87,-0.007
15113,3.248679533,13.142368,7.32,37.47,-6.05,9.64,0.6
